ad_id,asin
257319641240024.00,B09KTMKD
258793369940395.00,B09MR6BM
258813848569037.00,B0BG2Z8C
259509027003916.00,B09KDYY3
260273513105984.00,B0BNL64P
260300016771877.00,B09MR2FY
260354087667056.00,B09KDTS4
260422791514412.00,B0BNL4VP
260576090410344.00,B09MR2FY
262526689104855.00,B0BSLTV9
262664701164689.00,B0BRCXJ1
262800918995181.00,B0BNL3RD
263443803911361.00,B0B69SF1
263627620076207.00,B0BRCXJR
263668607571265.00,B0BNL63R
264239848798007.00,B0BNL71D
264340922189480.00,B09KDTS4
264438843681423.00,B09KDZQJ
264665916717816.00,B09KDW1Y
264946732669696.00,B0BNL5LC
265669749522113.00,B0BRCW79
266560535642595.00,B0BNL1J5
267198891363413.00,B0B31V3P
267385541028826.00,B0BRCYK4
267504623916263.00,B0B69C4G
267802796913996.00,B0BT51ZH
268124622696285.00,B0B31SM3
268275507191144.00,B0BNL424
268298237713987.00,B0B69DK8
268604268529663.00,B09KDTS4
269372729877338.00,B0BNKZCJ
270542842549724.00,B0BRCYV7
270623312679110.00,B0BNL3YY
270642761812566.00,B0B69GN5
271157813427378.00,B09MR4G7
272128534245262.00,B0BNL3RD
272163682958021.00,B09KDQ2B
272977445235976.00,B09MR3RS
273284743429607.00,B0BT4YQS
273313886983579.00,B0B69DD2
273730814258851.00,B0BNL46Y
274909567167681.00,B0B31T1X
275071553397695.00,B0BRCXST
275552388712438.00,B0BNKXC5
275726962912734.00,B0BNL5FV
276327779432261.00,B0BNKYPV
276369283599338.00,B0BSLTZV
276568719532279.00,B09X1H62
277383708589755.00,B0BRCXQM
277396986168583.00,B0BRCXJ1
278141681723982.00,B0BNKY2Y
278145105934687.00,B0BNL1J5
278584919648255.00,B09MR3XT
279615998509329.00,B0B31VFJ
279957244523525.00,B0BG2Z8C
280369608930528.00,B09MR36M
281057237242160.00,B0BNL3NZ
281355743984795.00,B09MR4G7
281430350246687.00,B0BNKYPV
281832196159956.00,B09KTFXX
283277815116551.00,B09X1J3W
284561453483974.00,B0B69GN5
284872588649001.00,B09MR4G7
285132097060772.00,B09MR3XT
285164137810679.00,B0BG2T78
285335137926033.00,B09MR4B1
285827749766969.00,B09X1H62
285845170334638.00,B0BT51RJ
286479925820152.00,B0BG2Z8C
287805378861192.00,B09MR56Q
289300951421737.00,B0BRCYQN
290668707711730.00,B0BNL5CJ
291202219182588.00,B0BNL6H1
292516418453794.00,B0B31V3P
294420055332701.00,B09MR5Q6
295637274387737.00,B0BRCYQN
296287617771584.00,B09MR4Z3
297629486501771.00,B0BNKZKG
297694418944249.00,B09KTJRH
298023288125401.00,B0BSLWJK
298423683355165.00,B0BRCW2B
301057299462504.00,B0BNL11Q
301162608697611.00,B0BNL4S7
301751345418913.00,B0B69DD2
302087783594009.00,B09KTMKD
304304828434611.00,B0B31SVP
304746636721922.00,B09KDW1Y
305779506144915.00,B0B31SVP
309518842748365.00,B0BNL46Y
314658405929965.00,B0BRCY68
315267980511759.00,B0BRCYV7
316713997945216.00,B0B69SF1
316740999913666.00,B0BSLTZV
321191532178279.00,B0BNL4S6
321553454724860.00,B09MR3Y2
323108087865064.00,B09MR3Y2
323541809619253.00,B0B31Y1F
323692227697231.00,B09MR4Z3
324129529404212.00,B0BNLS6Y
324521436175825.00,B0BNL4VP
325899203442835.00,B0BNL4R8
326244019537342.00,B0BNL3RD
326860134267587.00,B09X1HV1
327882242480851.00,B09MR4Z3
328133240368388.00,B0BRCXQM
328244194881282.00,B0BNKYZD
328296032944062.00,B0BNL1J5
328330849591744.00,B09KDVXT
328743802744599.00,B0BNKZ5S
328852989516211.00,B0BRCW79
328939982604385.00,B0BNKYW3
329441177764248.00,B09MR4Z3
330009469415463.00,B0BNL2Z6
332354776317994.00,B0BRCY8Q
335330605103311.00,B09KTMKD
336577865011143.00,B0BNL4S6
339580335350938.00,B09X1HV1
339714205581656.00,B09KDTS4
339732096783473.00,B0B31R1Z
340791482592945.00,B0BNL2VK
